KEGG_pathway,Biochemical_class,Enzyme_class,PDB_structure,Mode_of_action,Outcome
"Citrate cycle (TCA cycle), Glutathione metabolism, Metabolic pathways, Biosynthesis of antibiotics, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids, Peroxisome",CH-OH donor oxidoreductase,,,Inhibitor,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Inhibitor,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Modulator,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction, Complement and coagulation cascades, Inflammatory mediator regulation of TRP channels, Regulation of actin cytoskeleton, Endocrine and other factor-regulated calcium reabsorption, Chagas disease (American trypanosomiasis), Pathways in cancer",GPCR rhodopsin,,,Activator,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction, Complement and coagulation cascades, Inflammatory mediator regulation of TRP channels, Regulation of actin cytoskeleton, Endocrine and other factor-regulated calcium reabsorption, Chagas disease (American trypanosomiasis), Pathways in cancer",GPCR rhodopsin,,,Modulator,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction, Complement and coagulation cascades, Inflammatory mediator regulation of TRP channels, Regulation of actin cytoskeleton, Endocrine and other factor-regulated calcium reabsorption, Chagas disease (American trypanosomiasis), Pathways in cancer",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction, Complement and coagulation cascades, Inflammatory mediator regulation of TRP channels, Regulation of actin cytoskeleton, Endocrine and other factor-regulated calcium reabsorption, Chagas disease (American trypanosomiasis), Pathways in cancer",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Sphingolipid signaling pathway, Neuroactive ligand-receptor interaction, Complement and coagulation cascades, Inflammatory mediator regulation of TRP channels, Regulation of actin cytoskeleton, Endocrine and other factor-regulated calcium reabsorption, Chagas disease (American trypanosomiasis), Pathways in cancer",GPCR rhodopsin,,,Inhibitor,1.0
"Steroid biosynthesis, Lysosome",Carboxylic ester hydrolase,Hydrolases,,Modulator,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,,Blocker (channel blocker),1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,,Modulator,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,,Agonist,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,,Immunostimulant,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,,Antagonist,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Ligand-gated ion channel,,,Modulator (allosteric modulator),1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Salivary secretion",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Salivary secretion",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Salivary secretion",GPCR rhodopsin,,,Inhibitor,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Salivary secretion",GPCR rhodopsin,,,Modulator,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Salivary secretion",GPCR rhodopsin,,,Binder,1.0
"Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Salivary secretion",GPCR rhodopsin,,,Stimulator,1.0
Dopaminergic synapse,,,,Activator,0.0
"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase",,,,Inhibitor,1.0
"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase",,,,Modulator,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Inhibitor,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Modulator,1.0
Other glycan degradation,Glycosylase,Hydrolases,,Inhibitor,1.0
Other glycan degradation,Glycosylase,Hydrolases,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Dopaminergic synapse, Long-term depression, Amyotrophic lateral sclerosis (ALS), Amphetamine addiction, Nicotine addiction",Glutamate-gated ion channel,,,Blocker (channel blocker),1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Dopaminergic synapse, Long-term depression, Amyotrophic lateral sclerosis (ALS), Amphetamine addiction, Nicotine addiction",Glutamate-gated ion channel,,,Agonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Dopaminergic synapse, Long-term depression, Amyotrophic lateral sclerosis (ALS), Amphetamine addiction, Nicotine addiction",Glutamate-gated ion channel,,,Antagonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Dopaminergic synapse, Long-term depression, Amyotrophic lateral sclerosis (ALS), Amphetamine addiction, Nicotine addiction",Glutamate-gated ion channel,,,Inhibitor,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Dopaminergic synapse, Long-term depression, Amyotrophic lateral sclerosis (ALS), Amphetamine addiction, Nicotine addiction",Glutamate-gated ion channel,,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Circadian entrainment, Long-term potentiation, Retrograde endocannabinoid signaling, Glutamatergic synapse, Dopaminergic synapse, Long-term depression, Amyotrophic lateral sclerosis (ALS), Amphetamine addiction, Nicotine addiction",Glutamate-gated ion channel,,,Binder,1.0
Cytokine-cytokine receptor interaction,Cytokine receptor,,,.,1.0
Cytokine-cytokine receptor interaction,Cytokine receptor,,,Antagonist,1.0
"Salivary secretion, Tuberculosis",Cathelicidin family,,,Modulator,1.0
Neuroactive ligand-receptor interaction,GPCR secretin,,,Modulator,1.0
Neuroactive ligand-receptor interaction,GPCR secretin,,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Melanogenesis",GPCR rhodopsin,,,Modulator,1.0
"Neuroactive ligand-receptor interaction, Melanogenesis",GPCR rhodopsin,,,Agonist,1.0
"Neuroactive ligand-receptor interaction, Melanogenesis",GPCR rhodopsin,,,Inhibitor,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Antagonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Agonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Modulator (allosteric modulator),1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels, Renin secretion, Pathways in cancer",GPCR rhodopsin,,,Inhibitor,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Agonist,0.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Inhibitor,0.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Phosphatidylinositol signaling system, Oocyte meiosis, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Circadian entrainment, Long-term potentiation, Neurotrophin signaling pathway, Dopaminergic synapse, Olfactory transduction, Phototransduction, Inflammatory mediator regulation of TRP channels, Insulin signaling pathway, GnRH signaling pathway, Estrogen signaling pathway, Melanogenesis, Oxytocin signaling pathway, Glucagon signaling pathway, Salivary secretion, Gastric acid secretion, Alzheimer's disease, Amphetamine addiction, Alcoholism, Pertussis, Tuberculosis, Glioma",Calmodulin-dependent secretion,,,Inhibitor,1.0
"Ras signaling pathway, Rap1 signaling pathway, Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Phosphatidylinositol signaling system, Oocyte meiosis, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction, Circadian entrainment, Long-term potentiation, Neurotrophin signaling pathway, Dopaminergic synapse, Olfactory transduction, Phototransduction, Inflammatory mediator regulation of TRP channels, Insulin signaling pathway, GnRH signaling pathway, Estrogen signaling pathway, Melanogenesis, Oxytocin signaling pathway, Glucagon signaling pathway, Salivary secretion, Gastric acid secretion, Alzheimer's disease, Amphetamine addiction, Alcoholism, Pertussis, Tuberculosis, Glioma",Calmodulin-dependent secretion,,,Modulator,1.0
"cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Insulin secretion, Thyroid hormone synthesis, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Endocrine and other factor-regulated calcium reabsorption, Proximal tubule bicarbonate reclamation, Salivary secretion, Gastric acid secretion, Pancreatic secretion, Carbohydrate digestion and absorption, Protein digestion and absorption, Bile secretion, Mineral absorption",Acid anhydrides hydrolase,Translocases,,Inhibitor,1.0
"cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Insulin secretion, Thyroid hormone synthesis, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Endocrine and other factor-regulated calcium reabsorption, Proximal tubule bicarbonate reclamation, Salivary secretion, Gastric acid secretion, Pancreatic secretion, Carbohydrate digestion and absorption, Protein digestion and absorption, Bile secretion, Mineral absorption",Acid anhydrides hydrolase,Translocases,,Binder,1.0
"cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Insulin secretion, Thyroid hormone synthesis, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Endocrine and other factor-regulated calcium reabsorption, Proximal tubule bicarbonate reclamation, Salivary secretion, Gastric acid secretion, Pancreatic secretion, Carbohydrate digestion and absorption, Protein digestion and absorption, Bile secretion, Mineral absorption",Acid anhydrides hydrolase,Translocases,,Blocker,1.0
"cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Insulin secretion, Thyroid hormone synthesis, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Endocrine and other factor-regulated calcium reabsorption, Proximal tubule bicarbonate reclamation, Salivary secretion, Gastric acid secretion, Pancreatic secretion, Carbohydrate digestion and absorption, Protein digestion and absorption, Bile secretion, Mineral absorption",Acid anhydrides hydrolase,Translocases,,Modulator,1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,,Antagonist,1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,,Activator,1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,,Blocker (channel blocker),1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,,Inhibitor,1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, GABAergic synapse, Estrogen signaling pathway, Morphine addiction",GPCR glutamate,,,Agonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, GABAergic synapse, Estrogen signaling pathway, Morphine addiction",GPCR glutamate,,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, GABAergic synapse, Estrogen signaling pathway, Morphine addiction",GPCR glutamate,,,Antagonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, GABAergic synapse, Estrogen signaling pathway, Morphine addiction",GPCR glutamate,,,Modulator (allosteric modulator),1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, GABAergic synapse, Estrogen signaling pathway, Morphine addiction",GPCR glutamate,,,Inhibitor,1.0
"Toll-like receptor signaling pathway, Measles, Influenza A",Toll-like receptor,,,Antagonist,1.0
"Toll-like receptor signaling pathway, Measles, Influenza A",Toll-like receptor,,,Agonist,1.0
"Toll-like receptor signaling pathway, Measles, Influenza A",Toll-like receptor,,,.,1.0
"Toll-like receptor signaling pathway, Measles, Influenza A",Toll-like receptor,,,Modulator,1.0
Fat digestion and absorption,,,,Inhibitor,1.0
Fat digestion and absorption,,,,Modulator,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,,Inhibitor,1.0
"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Dopaminergic synapse",GPCR rhodopsin,,,Binder,1.0
"Neuroactive ligand-receptor interaction, Pancreatic secretion, Bile secretion",GPCR secretin,,,Binder,1.0
"Cytokine-cytokine receptor interaction, Jak-STAT signaling pathway, Hematopoietic cell lineage",Cytokine receptor,,,Modulator,1.0
"Cytokine-cytokine receptor interaction, Jak-STAT signaling pathway, Hematopoietic cell lineage",Cytokine receptor,,,Binder,1.0
"Neuroactive ligand-receptor interaction, Estrogen signaling pathway, Morphine addiction",GPCR rhodopsin,,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Estrogen signaling pathway, Morphine addiction",GPCR rhodopsin,,,Agonist,1.0
"Neuroactive ligand-receptor interaction, Estrogen signaling pathway, Morphine addiction",GPCR rhodopsin,,,Antagonist,1.0
"Neuroactive ligand-receptor interaction, Estrogen signaling pathway, Morphine addiction",GPCR rhodopsin,,,Modulator,1.0
"Neuroactive ligand-receptor interaction, Estrogen signaling pathway, Morphine addiction",GPCR rhodopsin,,,.,1.0
"Synaptic vesicle cycle, Serotonergic synapse, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Major facilitator superfamily,,,Antagonist,1.0
"Synaptic vesicle cycle, Serotonergic synapse, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Major facilitator superfamily,,,Inhibitor,1.0
"Synaptic vesicle cycle, Serotonergic synapse, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Major facilitator superfamily,,,Enhancer,1.0
"Synaptic vesicle cycle, Serotonergic synapse, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Major facilitator superfamily,,,Blocker,1.0
"Synaptic vesicle cycle, Serotonergic synapse, Dopaminergic synapse, Parkinson's disease, Cocaine addiction, Amphetamine addiction, Alcoholism",Major facilitator superfamily,,,Modulator,1.0
Mineral absorption,Chloride channel,,,Blocker (channel blocker),1.0
Mineral absorption,Chloride channel,,,Activator,1.0
Mineral absorption,Chloride channel,,,Modulator,1.0
"Tyrosine metabolism, Metabolic pathways, Thyroid hormone synthesis, Autoimmune thyroid disease",Peroxidases,Oxidoreductases,,Modulator,1.0
"Tyrosine metabolism, Metabolic pathways, Thyroid hormone synthesis, Autoimmune thyroid disease",Peroxidases,Oxidoreductases,,Inhibitor,1.0
"cGMP-PKG signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, Sphingolipid signaling pathway, Vascular smooth muscle contraction, TGF-beta signaling pathway, Axon guidance, Focal adhesion, Platelet activation, Leukocyte transendothelial migration, Regulation of actin cytoskeleton, Oxytocin signaling pathway, Pathogenic Escherichia coli infection, Shigellosis, Salmonella infection, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer",Kinase,,,Inhibitor,1.0
"cGMP-PKG signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, Sphingolipid signaling pathway, Vascular smooth muscle contraction, TGF-beta signaling pathway, Axon guidance, Focal adhesion, Platelet activation, Leukocyte transendothelial migration, Regulation of actin cytoskeleton, Oxytocin signaling pathway, Pathogenic Escherichia coli infection, Shigellosis, Salmonella infection, Pathways in cancer, Proteoglycans in cancer, MicroRNAs in cancer",Kinase,,,Modulator,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Neurotransmitter receptor,,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Neurotransmitter receptor,,,Agonist,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Neurotransmitter receptor,,,Blocker (channel blocker),1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Neurotransmitter receptor,,,Modulator (allosteric modulator),1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, GABAergic synapse, Morphine addiction, Nicotine addiction",Neurotransmitter receptor,,,Modulator,1.0
"Oxidative phosphorylation, Collecting duct acid secretion, Gastric acid secretion",Acid anhydrides hydrolase,Translocases,,Modulator,1.0
"Oxidative phosphorylation, Collecting duct acid secretion, Gastric acid secretion",Acid anhydrides hydrolase,Translocases,,Inhibitor,1.0
"Taste transduction, Aldosterone-regulated sodium reabsorption",Epithelial sodium channel,,,Activator,1.0
"Taste transduction, Aldosterone-regulated sodium reabsorption",Epithelial sodium channel,,,Blocker (channel blocker),1.0
"Taste transduction, Aldosterone-regulated sodium reabsorption",Epithelial sodium channel,,,Inhibitor,1.0
"Taste transduction, Aldosterone-regulated sodium reabsorption",Epithelial sodium channel,,,Blocker,1.0
"Pyrimidine metabolism, One carbon pool by folate, Metabolic pathways",Methyltransferase,Transferases,,Inhibitor,1.0
"Pyrimidine metabolism, One carbon pool by folate, Metabolic pathways",Methyltransferase,Transferases,,Modulator,1.0
"Pyrimidine metabolism, One carbon pool by folate, Metabolic pathways",Methyltransferase,Transferases,,Binder,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Antagonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Agonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",GPCR rhodopsin,,,Inhibitor,1.0
